participant_id,eval_case_id,repeat_index,policy_sampling_seed,realised_route,success,success_within_route,termination_reason,primary_failure,failure_labels,target_xy_error,final_cylinder_tilt_degrees,minimum_box_cylinder_xy_distance,checkpoint_sha256,config_sha256,paired_manifest_sha256,video_path
CB01,5,0,20270857,indeterminate,0,0,policy_timeout,target_miss,policy_timeout;target_miss,0.948439,0.000355,0.369469,ce6afbea7e66b15af9a0305af9894501e244fdd323f467522e517fb8b808f4f3,288b64a2eddd34893080d76c9150a64e77127175c05b6d97c7c7072cd2712f85,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB01/videos/case_05_repeat_0_execution_0.mp4
CB01,5,1,20270858,L,0,0,policy_timeout,target_miss,policy_timeout;target_miss,0.314986,9.7e-05,0.087361,ce6afbea7e66b15af9a0305af9894501e244fdd323f467522e517fb8b808f4f3,288b64a2eddd34893080d76c9150a64e77127175c05b6d97c7c7072cd2712f85,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB01/videos/case_05_repeat_1_execution_0.mp4
CB01,6,0,20270867,R,1,1,success,success,,0.01302,0.000333,0.135437,ce6afbea7e66b15af9a0305af9894501e244fdd323f467522e517fb8b808f4f3,288b64a2eddd34893080d76c9150a64e77127175c05b6d97c7c7072cd2712f85,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB01/videos/case_06_repeat_0_execution_0.mp4
CB01,6,1,20270868,L,0,0,policy_timeout,cylinder_topple,cylinder_toppled;policy_timeout;target_miss,0.752166,90.000096,0.122509,ce6afbea7e66b15af9a0305af9894501e244fdd323f467522e517fb8b808f4f3,288b64a2eddd34893080d76c9150a64e77127175c05b6d97c7c7072cd2712f85,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB01/videos/case_06_repeat_1_execution_0.mp4
CB01,7,0,20270877,R,1,1,success,success,,0.050177,7e-05,0.153073,ce6afbea7e66b15af9a0305af9894501e244fdd323f467522e517fb8b808f4f3,288b64a2eddd34893080d76c9150a64e77127175c05b6d97c7c7072cd2712f85,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB01/videos/case_07_repeat_0_execution_0.mp4
CB01,7,1,20270878,R,0,0,policy_timeout,cylinder_topple,cylinder_toppled;policy_timeout;target_miss,6.511084,90.000065,0.10862,ce6afbea7e66b15af9a0305af9894501e244fdd323f467522e517fb8b808f4f3,288b64a2eddd34893080d76c9150a64e77127175c05b6d97c7c7072cd2712f85,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB01/videos/case_07_repeat_1_execution_0.mp4
CB01,8,0,20270887,L,1,1,success,success,,0.040084,0.000377,0.132792,ce6afbea7e66b15af9a0305af9894501e244fdd323f467522e517fb8b808f4f3,288b64a2eddd34893080d76c9150a64e77127175c05b6d97c7c7072cd2712f85,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB01/videos/case_08_repeat_0_execution_0.mp4
CB01,8,1,20270888,L,1,1,success,success,,0.094077,0.000209,0.121793,ce6afbea7e66b15af9a0305af9894501e244fdd323f467522e517fb8b808f4f3,288b64a2eddd34893080d76c9150a64e77127175c05b6d97c7c7072cd2712f85,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB01/videos/case_08_repeat_1_execution_0.mp4
CB01,9,0,20270897,R,1,1,success,success,,0.090468,5.4e-05,0.158035,ce6afbea7e66b15af9a0305af9894501e244fdd323f467522e517fb8b808f4f3,288b64a2eddd34893080d76c9150a64e77127175c05b6d97c7c7072cd2712f85,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB01/videos/case_09_repeat_0_execution_0.mp4
CB01,9,1,20270898,R,1,1,success,success,,0.015488,8.8e-05,0.184157,ce6afbea7e66b15af9a0305af9894501e244fdd323f467522e517fb8b808f4f3,288b64a2eddd34893080d76c9150a64e77127175c05b6d97c7c7072cd2712f85,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB01/videos/case_09_repeat_1_execution_0.mp4
CB02,0,0,20280807,indeterminate,0,0,policy_timeout,target_miss,policy_timeout;target_miss,1.215953,0.000355,0.301409,70d33b9df5b84ea17e33a79b76bc77f95923c17c17183724178d9b33b831442c,9273013acd847248992d19318c48a635ef49db7aad861bd65738718847e7f127,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB02/videos/case_00_repeat_0_execution_0.mp4
CB02,0,1,20280808,indeterminate,0,0,policy_timeout,target_miss,policy_timeout;target_miss,3.38605,0.000227,0.301409,70d33b9df5b84ea17e33a79b76bc77f95923c17c17183724178d9b33b831442c,9273013acd847248992d19318c48a635ef49db7aad861bd65738718847e7f127,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB02/videos/case_00_repeat_1_execution_0.mp4
CB02,1,0,20280817,R,0,0,policy_timeout,cylinder_topple,cylinder_toppled;policy_timeout,0.025193,90.0,0.111651,70d33b9df5b84ea17e33a79b76bc77f95923c17c17183724178d9b33b831442c,9273013acd847248992d19318c48a635ef49db7aad861bd65738718847e7f127,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB02/videos/case_01_repeat_0_execution_0.mp4
CB02,1,1,20280818,R,0,0,policy_timeout,cylinder_topple,cylinder_toppled;policy_timeout;target_miss,0.173787,89.999999,0.120495,70d33b9df5b84ea17e33a79b76bc77f95923c17c17183724178d9b33b831442c,9273013acd847248992d19318c48a635ef49db7aad861bd65738718847e7f127,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB02/videos/case_01_repeat_1_execution_0.mp4
CB02,2,0,20280827,indeterminate,0,0,policy_timeout,target_miss,policy_timeout;target_miss,4.892526,0.000226,0.279975,70d33b9df5b84ea17e33a79b76bc77f95923c17c17183724178d9b33b831442c,9273013acd847248992d19318c48a635ef49db7aad861bd65738718847e7f127,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB02/videos/case_02_repeat_0_execution_0.mp4
CB02,2,1,20280828,indeterminate,0,0,policy_timeout,target_miss,policy_timeout;target_miss,3.262743,0.000342,0.279975,70d33b9df5b84ea17e33a79b76bc77f95923c17c17183724178d9b33b831442c,9273013acd847248992d19318c48a635ef49db7aad861bd65738718847e7f127,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB02/videos/case_02_repeat_1_execution_0.mp4
