participant_id,route,success_count,rollout_count,edsr
C01,L,5,10,0.5
C02,L,5,10,0.5
C03,L,5,10,0.5
C04,L,4,10,0.4
C05,L,3,10,0.3
C06,R,2,10,0.2
C07,R,4,10,0.4
C08,R,5,10,0.5
C09,R,5,10,0.5
C10,R,6,10,0.6
