participant_id,eval_case_id,repeat_index,policy_sampling_seed,realised_route,success,success_within_route,termination_reason,primary_failure,failure_labels,target_xy_error,final_cylinder_tilt_degrees,minimum_box_cylinder_xy_distance,checkpoint_sha256,config_sha256,paired_manifest_sha256,video_path
B01,5,0,20270857,indeterminate,0,0,policy_timeout,cylinder_topple,cylinder_toppled;policy_timeout;target_miss,0.469436,89.999933,0.249701,f76811147aa8f1495824dee3ec508abc7de242e286a156609453497d094eb2c2,a0f2aac96ab9a0e0e703110107fc57692540521520ef18296f5ac09bbefd6368,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B01/videos/case_05_repeat_0_execution_0.mp4
B01,5,1,20270858,indeterminate,0,0,policy_timeout,target_miss,policy_timeout;target_miss,0.455631,0.000423,0.310875,f76811147aa8f1495824dee3ec508abc7de242e286a156609453497d094eb2c2,a0f2aac96ab9a0e0e703110107fc57692540521520ef18296f5ac09bbefd6368,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B01/videos/case_05_repeat_1_execution_0.mp4
B01,6,0,20270867,R,0,0,policy_timeout,cylinder_topple,cylinder_toppled;policy_timeout;target_miss,0.135595,89.999922,0.141509,f76811147aa8f1495824dee3ec508abc7de242e286a156609453497d094eb2c2,a0f2aac96ab9a0e0e703110107fc57692540521520ef18296f5ac09bbefd6368,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B01/videos/case_06_repeat_0_execution_0.mp4
B01,6,1,20270868,L,0,0,policy_timeout,cylinder_topple,cylinder_toppled;policy_timeout,0.082458,90.000005,0.019757,f76811147aa8f1495824dee3ec508abc7de242e286a156609453497d094eb2c2,a0f2aac96ab9a0e0e703110107fc57692540521520ef18296f5ac09bbefd6368,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B01/videos/case_06_repeat_1_execution_0.mp4
B01,7,0,20270877,R,1,1,success,success,,0.075865,0.000352,0.138447,f76811147aa8f1495824dee3ec508abc7de242e286a156609453497d094eb2c2,a0f2aac96ab9a0e0e703110107fc57692540521520ef18296f5ac09bbefd6368,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B01/videos/case_07_repeat_0_execution_0.mp4
B01,7,1,20270878,R,0,0,policy_timeout,cylinder_topple,cylinder_toppled;policy_timeout;target_miss,0.513065,90.0,0.11754,f76811147aa8f1495824dee3ec508abc7de242e286a156609453497d094eb2c2,a0f2aac96ab9a0e0e703110107fc57692540521520ef18296f5ac09bbefd6368,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B01/videos/case_07_repeat_1_execution_0.mp4
B01,8,0,20270887,L,0,0,policy_timeout,cylinder_topple,cylinder_toppled;policy_timeout;target_miss,0.102067,89.999924,0.192657,f76811147aa8f1495824dee3ec508abc7de242e286a156609453497d094eb2c2,a0f2aac96ab9a0e0e703110107fc57692540521520ef18296f5ac09bbefd6368,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B01/videos/case_08_repeat_0_execution_0.mp4
B01,8,1,20270888,L,0,0,policy_timeout,target_miss,policy_timeout;target_miss,0.872411,0.00027,0.087167,f76811147aa8f1495824dee3ec508abc7de242e286a156609453497d094eb2c2,a0f2aac96ab9a0e0e703110107fc57692540521520ef18296f5ac09bbefd6368,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B01/videos/case_08_repeat_1_execution_0.mp4
B01,9,0,20270897,R,1,1,success,success,,0.032414,7.9e-05,0.145588,f76811147aa8f1495824dee3ec508abc7de242e286a156609453497d094eb2c2,a0f2aac96ab9a0e0e703110107fc57692540521520ef18296f5ac09bbefd6368,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B01/videos/case_09_repeat_0_execution_0.mp4
B01,9,1,20270898,R,1,1,success,success,,0.034269,0.0,0.188869,f76811147aa8f1495824dee3ec508abc7de242e286a156609453497d094eb2c2,a0f2aac96ab9a0e0e703110107fc57692540521520ef18296f5ac09bbefd6368,10dbbe16da06b4013899e350fece05687abc8c45471b584ac5a2473a0e486dad,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B01/videos/case_09_repeat_1_execution_0.mp4
