participant_id,eval_case_id,repeat_index,policy_sampling_seed,target_xy_error,termination_reason,video_path
CB05,1,0,20310817,0.022216,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB05/videos/case_01_repeat_0_execution_0.mp4
CB06,1,0,20320817,0.022478,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB06/videos/case_01_repeat_0_execution_0.mp4
CB03,6,0,20290867,0.024089,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB03/videos/case_06_repeat_0_execution_0.mp4
CB10,3,1,20360838,0.024315,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB10/videos/case_03_repeat_1_execution_0.mp4
CB10,4,1,20360848,0.024558,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB10/videos/case_04_repeat_1_execution_0.mp4
CB05,9,0,20310897,0.026424,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB05/videos/case_09_repeat_0_execution_0.mp4
CB06,8,0,20320887,0.027359,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB06/videos/case_08_repeat_0_execution_0.mp4
CB06,5,0,20320857,0.029616,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB06/videos/case_05_repeat_0_execution_0.mp4
CB08,9,0,20340897,0.030632,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB08/videos/case_09_repeat_0_execution_0.mp4
CB06,3,1,20320838,0.031234,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB06/videos/case_03_repeat_1_execution_0.mp4
CB06,6,0,20320867,0.038084,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB06/videos/case_06_repeat_0_execution_0.mp4
CB06,4,1,20320848,0.039634,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB06/videos/case_04_repeat_1_execution_0.mp4
CB10,4,0,20360847,0.043062,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB10/videos/case_04_repeat_0_execution_0.mp4
CB08,8,1,20340888,0.047024,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB08/videos/case_08_repeat_1_execution_0.mp4
CB05,7,1,20310878,0.047502,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB05/videos/case_07_repeat_1_execution_0.mp4
CB05,9,1,20310898,0.050092,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB05/videos/case_09_repeat_1_execution_0.mp4
CB01,7,0,20270877,0.050177,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB01/videos/case_07_repeat_0_execution_0.mp4
CB09,1,1,20350818,0.051071,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB09/videos/case_01_repeat_1_execution_0.mp4
CB10,3,0,20360837,0.052202,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB10/videos/case_03_repeat_0_execution_0.mp4
CB01,1,1,20270818,0.052503,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB01/videos/case_01_repeat_1_execution_0.mp4
CB01,4,0,20270847,0.064562,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB01/videos/case_04_repeat_0_execution_0.mp4
CB07,9,1,20330898,0.072912,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB07/videos/case_09_repeat_1_execution_0.mp4
CB04,9,1,20300898,0.087335,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB04/videos/case_09_repeat_1_execution_0.mp4
CB03,9,1,20290898,0.08979,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB03/videos/case_09_repeat_1_execution_0.mp4
CB01,9,0,20270897,0.090468,success,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_control_bimodal_group/policy_rollouts/CB01/videos/case_09_repeat_0_execution_0.mp4
