realised_route,participant_id,eval_case_id,repeat_index,policy_sampling_seed,termination_reason,target_xy_error,video_path,formal_result_path
R,B06,8,1,20320888,success,0.024326,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B06/videos/case_08_repeat_1_execution_0.mp4,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B06/rollouts/rollout_case_08_repeat_1.json
R,B07,9,0,20330897,success,0.027844,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B07/videos/case_09_repeat_0_execution_0.mp4,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B07/rollouts/rollout_case_09_repeat_0.json
R,B08,1,0,20340817,success,0.071681,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B08/videos/case_01_repeat_0_execution_0.mp4,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B08/rollouts/rollout_case_01_repeat_0.json
R,B08,3,1,20340838,success,0.011517,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B08/videos/case_03_repeat_1_execution_0.mp4,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B08/rollouts/rollout_case_03_repeat_1.json
R,B08,4,0,20340847,success,0.021407,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B08/videos/case_04_repeat_0_execution_0.mp4,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B08/rollouts/rollout_case_04_repeat_0.json
R,B08,6,0,20340867,success,0.010025,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B08/videos/case_06_repeat_0_execution_0.mp4,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B08/rollouts/rollout_case_06_repeat_0.json
R,B09,1,1,20350818,success,0.007254,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B09/videos/case_01_repeat_1_execution_0.mp4,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B09/rollouts/rollout_case_01_repeat_1.json
R,B09,6,0,20350867,success,0.014948,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B09/videos/case_06_repeat_0_execution_0.mp4,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B09/rollouts/rollout_case_06_repeat_0.json
R,B09,6,1,20350868,success,0.011178,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B09/videos/case_06_repeat_1_execution_0.mp4,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B09/rollouts/rollout_case_06_repeat_1.json
R,B09,7,0,20350877,success,0.034304,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B09/videos/case_07_repeat_0_execution_0.mp4,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B09/rollouts/rollout_case_07_repeat_0.json
R,B09,8,0,20350887,success,0.036227,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B09/videos/case_08_repeat_0_execution_0.mp4,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B09/rollouts/rollout_case_08_repeat_0.json
R,B09,9,0,20350897,success,0.011294,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B09/videos/case_09_repeat_0_execution_0.mp4,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B09/rollouts/rollout_case_09_repeat_0.json
R,B09,9,1,20350898,success,0.025064,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B09/videos/case_09_repeat_1_execution_0.mp4,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B09/rollouts/rollout_case_09_repeat_1.json
R,B10,4,1,20360848,success,0.006517,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B10/videos/case_04_repeat_1_execution_0.mp4,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B10/rollouts/rollout_case_04_repeat_1.json
R,B10,6,1,20360868,success,0.015405,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B10/videos/case_06_repeat_1_execution_0.mp4,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B10/rollouts/rollout_case_06_repeat_1.json
R,B10,9,0,20360897,success,0.010689,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B10/videos/case_09_repeat_0_execution_0.mp4,/cephfs/volumes/hpc_data_prj/eng_demt_robot_learning/45908032-a3fa-4719-9989-cd8d04c08f7a/polymetics_demt/rebuttal_dataset/simulation_bimodal_group/policy_rollouts/B10/rollouts/rollout_case_09_repeat_0.json
